base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Anambe_PA,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,16.9,17.6,0.23,3,,,,,,,15,c015,Shade-tolerant,721901.2658,9627197.196
Anambe_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,36.6,37.5,0.3,3,,,,,,,35,c035,,721934.8463,9627196.515
Anambe_PA,tachi vermelho,Tachigali paniculata,Fabaceae,FALSE,FALSE,,26.9,28.3,0.47,3,,,,,,,25,c025,Intermediate,721917.976,9627196.021
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,15.4,15.8,0.13,3,,,,,,,15,c015,,721936.0026,9627196.527
Anambe_PA,pau-de-colher,Lacmellea aculeata,Apocynaceae,FALSE,FALSE,,14.9,15.9,0.33,3,,,,,,,15,c015,,721920.0657,9627195.853
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,20.7,21.3,0.2,3,,,,,,,25,c025,,721936.3732,9627198.46
Anambe_PA,tauari,Couratari stellata,Lecythidaceae,FALSE,FALSE,,13.2,13.1,0,3,,,,,,,15,c015,,721928.4261,9627195.274
Anambe_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,30.5,31,0.17,3,,,,,,,35,c035,,721922.1573,9627198.588
Anambe_PA,amapa doce,Brosimum parinarioides,Moraceae,FALSE,FALSE,,25,24.9,0,3,,,,,,,25,c025,,721928.4439,9627196.611
Anambe_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,11.7,12.4,0.23,3,,,,,,,15,c015,Shade-tolerant,721923.2072,9627198.043
Anambe_PA,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,FALSE,FALSE,,14.1,14.5,0.13,3,,,,,,,15,c015,,721929.7075,9627196.899
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,20,20.1,0.03,3,,,,,,,25,c025,,721920.0439,9627201.715
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,15.5,15.9,0.13,3,,,,,,,15,c015,,721926.4635,9627197.902
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,17.1,18.2,0.37,3,,,,,,,15,c015,,721918.9841,9627202.15
Anambe_PA,pau-de-remo,Chimarrhis turbinata,Rubiaceae,FALSE,FALSE,,59.6,59.6,0,3,32.47,22.34,,,,,55,c055,,721929.5376,9627199.503
Anambe_PA,caqui,Diospyros guianensis,Ebenaceae,FALSE,FALSE,,13.1,20.3,2.4,3,,,,,,,15,c015,Shade-tolerant,721921.1026,9627200.996
Anambe_PA,acoita-cavalo,Luehea speciosa,Malvaceae,FALSE,FALSE,,39,58.6,6.53,3,,,,,,,35,c035,Intermediate,721928.5025,9627201.006
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,11.9,12.3,0.13,3,,,,,,,15,c015,,721922.1544,9627193.904
Anambe_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,10.6,10.9,0.1,3,,,,,,,15,c015,Shade-tolerant,721927.4474,9627201.261
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,10.2,17.8,2.53,3,,,,,,,15,c015,,721912.6739,9627200.441
Anambe_PA,tachi,Tachigali myrmecophila,Fabaceae,FALSE,FALSE,,10.8,13.5,0.9,3,,,,,,,15,c015,,721912.6721,9627200.532
Anambe_PA,ucuuba terra-firme,Virola sebifera,Myristicaceae,FALSE,TRUE,,37.3,,,3,,,,,,,35,c035,,721931.1866,9627203.058
Anambe_PA,ucuuba vermelha,Virola mollissima,Myristicaceae,FALSE,FALSE,,11.8,11.9,0.03,3,,,,,,,15,c015,,721931.7176,9627203.028
Anambe_PA,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,TRUE,,17.1,,,3,,,,,,,15,c015,,721924.2847,9627203.53
Anambe_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,13.6,14,0.13,3,,,,,,,15,c015,Shade-tolerant,721932.0439,9627203.397
Anambe_PA,ucuuba,Virola michelii,Myristicaceae,FALSE,FALSE,,16.2,16.2,0,3,,,,,,,15,c015,,721924.2921,9627205.039
Anambe_PA,louro preto,Nectandra cuspidata,Lauraceae,FALSE,FALSE,,11.1,11.1,0,3,,,,,,,15,c015,Intermediate,721926.9875,9627208.044
Anambe_PA,seringueira,Hevea brasiliensis,Euphorbiaceae,FALSE,FALSE,,28.7,31.8,1.03,3,,,,,,,25,c025,,721921.0909,9627208.558
Anambe_PA,cacau,Theobroma glaucum,Malvaceae,FALSE,FALSE,,12.9,13,0.03,3,,,,,,,15,c015,,721928.0619,9627208.192
Anambe_PA,ingarana,Inga sp,Fabaceae,FALSE,FALSE,,15.7,15.8,0.03,3,,,,,,,15,c015,,721918.9429,9627209.105
Anambe_PA,matamata vermelho,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,18.6,18.5,0,3,,,,,,,15,c015,Shade-tolerant,721931.8493,9627209.781
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,22.5,24,0.5,3,,,,,,,25,c025,,721915.7416,9627207.665
Anambe_PA,abiurana vermelha,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,25.2,25.5,0.1,3,,,,,,,25,c025,,721928.5574,9627213.237
Anambe_PA,muiratinga,Maquira coriacea,Moraceae,FALSE,FALSE,,10,11.4,0.47,3,,,,,,,15,c015,,721928.6427,9627219.731
Anambe_PA,inhare,Helicostylis tomentosa,Moraceae,FALSE,FALSE,,10.1,10.5,0.13,3,,,,,,,15,c015,,721916.8013,9627208.633
Anambe_PA,louro preto,Ocotea cernua,Lauraceae,FALSE,FALSE,,14.4,14.4,0,3,,,,,,,15,c015,Intermediate,721954.1604,9627222.711
Anambe_PA,acoita-cavalo,Luehea speciosa,Malvaceae,FALSE,FALSE,,10.2,10.6,0.13,3,,,,,,,15,c015,Intermediate,721916.7908,9627209.646
Anambe_PA,pau-jacare,Laetia procera,Salicaceae,FALSE,FALSE,,10.1,11.4,0.43,3,,,,,,,15,c015,Pioneer,721942.9346,9627217.682
